#{"t_start": 1627473512.107277, "env_id": null}
r,l,t
23.725095,3,22174.508669
3.453927,3,22196.108385
0.196608,3,22204.691643
38.863854,3,22282.332156
8.206089,3,22305.409428
9.758562,3,22332.02456
43.337703,2,22398.322206
43.208869,3,22466.923126
9.15139,3,22492.46979
20.015628,3,22533.68658
15.881777,3,22589.030169
7.550888,3,22614.752833
43.127081,3,22693.213227
14.88082,3,22728.77092
4.855038,3,22748.875213
32.462545,3,22807.08021
29.151265,3,22865.430645
0.092276,3,22873.352573
38.734831,2,22939.660667
0.081818,3,22947.722881
14.019527,3,22983.583999
0.132538,3,22992.666678
2.611929,3,23009.528623
2.082613,3,23023.191649
14.329222,3,23059.749252
27.529678,3,23115.536155
11.407656,3,23143.647061
12.691838,3,23179.264709
6.907296,3,23201.579651
0.227199,3,23209.321114
19.179831,3,23250.146919
19.641503,3,23295.908211
2.519689,3,23309.432594
10.769232,3,23339.644602
2.962685,3,23353.916872
8.161844,3,23379.291535
16.961759,3,23415.63228
41.742649,3,23491.372781
26.2263,3,23543.430832
36.041157,3,23609.303927
5.735393,3,23629.752067
10.641322,3,23660.457763
2.740915,3,23675.209757
37.793804,3,23747.854841
4.768025,3,23767.069745
36.568362,3,23834.546
3.634562,3,23850.05088
4.187129,3,23869.971974
40.023408,2,23936.91628
17.381323,3,23977.408781
30.12085,3,24033.42804
0.149945,3,24041.132771
5.042803,3,24059.670501
30.130494,3,24112.23361
45.18709,2,24181.589785
5.572705,3,24203.392243
3.567393,3,24220.988225
7.445261,3,24243.56694
23.151516,3,24286.362839
8.32454,3,24313.230721
0.567902,3,24323.275909
34.857618,3,24390.010139
30.2913,3,24442.3963
9.801986,3,24472.448824
4.623772,3,24491.018426
0.168895,3,24498.195396
42.043207,3,24574.575153
0.285801,3,24582.822426
4.669704,3,24611.77824
36.612038,3,24677.220751
19.153418,3,24718.909738
2.669739,3,24734.317351
11.867161,3,24772.201662
19.788146,3,24814.866644
22.732195,3,24866.086408
8.221052,3,24894.798748
23.130185,3,24947.341452
0.08445,3,24954.530987
38.592944,3,25032.915638
14.547026,3,25064.006258
12.872742,3,25095.470834
32.760422,3,25155.499476
24.06771,3,25218.654049
0.087855,3,25226.428212
21.599409,3,25275.775975
37.8481,3,25337.805476
23.286502,3,25386.270521
16.418816,3,25422.346074
41.076556,3,25491.040083
32.626001,3,25542.474458
2.045097,3,25555.352595
41.503281,3,25628.25392
0.192944,3,25636.562508
20.980021,3,25698.940081
0.114578,3,25707.482838
0.177035,3,25715.278586
39.482825,3,25791.688778
39.923048,3,25862.055228
11.817112,3,25896.873815
29.530367,3,25959.016949
25.486669,3,26013.918225
1.11252,3,26038.214379
0.449709,3,26047.141338
40.407605,3,26124.646605
30.681939,3,26179.624393
39.705902,3,26244.63475
0.252403,3,26253.966965
10.321264,3,26296.675501
24.901057,3,26372.518627
0.001992,3,26381.021156
38.769391,3,26455.870544
36.599713,3,26522.4873
15.961291,3,26566.421402
17.389945,3,26614.163571
46.77263,1,26684.945391
3.463518,3,26707.387656
35.909805,3,26769.757536
0.00205,3,26776.836643
4.539442,3,26796.781081
20.768285,3,26836.788121
4.757562,3,26880.351771
48.991404,1,26960.008306
9.28609,3,26991.259251
49.421688,1,27057.936297
0.664243,3,27069.19314
6.721496,3,27090.280571
46.357966,2,27163.888797
2.476075,3,27177.789329
12.885703,3,27221.353682
41.746278,2,27284.408488
31.00669,3,27344.471954
