#{"t_start": 1627473514.7806098, "env_id": null}
r,l,t
37.864966,3,37538.480571
38.939567,3,37605.317019
42.768185,3,37674.325653
6.317516,3,37705.256305
44.945619,1,37770.610729
49.631131,1,37835.594823
25.528984,3,37881.305581
38.928382,3,37944.145904
46.787455,1,38010.27654
30.218045,3,38064.74665
43.527659,3,38133.924063
43.31892,2,38198.727757
50.770814,1,38264.516862
46.289258,2,38330.620185
46.637246,2,38393.660292
34.12246,3,38454.918565
15.814724,3,38489.261479
48.40048,1,38552.885343
31.737614,3,38607.70508
42.570198,1,38674.538697
32.379969,3,38729.720015
36.86019,2,38798.527318
42.090017,3,38864.05843
46.898232,2,38928.677633
40.666387,3,38995.486567
44.546831,2,39061.229589
4.50568,3,39094.833067
16.687432,3,39136.735148
44.334933,1,39201.885264
46.38074,1,39268.953124
31.916872,3,39323.598614
46.946031,1,39388.942997
20.99821,3,39433.563513
40.621562,3,39500.715465
49.36202,1,39566.196436
48.631195,1,39631.585943
10.760992,3,39660.607204
40.967895,3,39726.971794
45.957565,1,39791.079581
45.668178,1,39858.339165
2.164233,3,39873.342859
48.000984,1,39937.521801
4.62268,3,39958.697157
35.477057,3,40017.175667
41.59403,3,40085.143175
47.909768,1,40150.068144
46.252049,1,40215.619324
28.163939,3,40270.888563
47.255413,2,40337.477034
44.622758,2,40402.445787
37.361553,3,40462.211655
38.366306,2,40528.724271
46.484821,1,40592.500566
20.704021,3,40631.727409
49.851802,1,40697.157645
50.112008,1,40761.283941
44.089853,1,40828.156354
41.772846,2,40894.32511
49.38523,1,40957.969076
40.590006,2,41022.215212
47.485598,1,41090.867115
46.001904,1,41158.442868
41.430342,3,41228.78517
41.052391,2,41296.511194
51.659822,1,41363.842861
38.44153,3,41431.657741
46.849088,1,41496.932253
47.374937,1,41561.937101
47.536074,1,41627.578434
1.77146,3,41645.746451
22.463849,3,41693.02914
25.106342,3,41744.588033
21.82721,3,41787.772855
40.710677,3,41854.586168
45.636349,1,41918.991789
31.081746,3,41975.471026
40.122912,3,42041.127619
49.108741,1,42106.012245
34.577613,3,42167.087942
19.136297,3,42205.343421
42.660901,3,42270.416747
26.56759,3,42319.981121
41.145017,2,42385.897244
49.043602,1,42451.648015
41.417747,3,42521.045691
14.698599,3,42556.798122
38.137127,3,42620.949079
45.43679,2,42684.849542
41.595751,3,42749.583773
10.861185,3,42777.357522
20.44342,3,42817.050267
17.409714,3,42856.212925
45.013476,2,42920.027544
33.605017,3,42982.342117
13.289045,3,43018.600496
43.690618,2,43084.309975
51.514224,1,43152.358789
40.733672,3,43219.834866
49.706174,1,43284.556205
26.195554,3,43338.6606
49.489942,1,43401.33687
46.020122,1,43465.817698
46.005678,2,43530.764745
47.88769,1,43596.746563
41.285652,3,43665.355044
46.981552,1,43731.985612
40.768999,3,43798.40177
46.328675,2,43863.985531
10.118229,3,43892.941098
41.669782,3,43960.017363
44.117593,2,44028.286313
18.340651,3,44066.128442
36.294809,3,44126.95251
46.010774,2,44193.215758
17.966958,3,44237.190506
39.679544,1,44307.269331
39.399341,3,44371.093923
17.147832,3,44408.539015
48.250662,2,44474.950482
30.539463,3,44538.260144
35.462924,3,44598.451103
24.718723,3,44667.434271
45.701936,2,44730.409506
46.451649,2,44794.59023
31.323509,3,44851.419169
32.636198,3,44905.49756
44.013693,2,44971.652419
38.595643,3,45033.987669
45.60171,2,45099.327492
17.207606,3,45133.831812
6.596592,3,45156.689667
44.659697,1,45224.419065
28.399808,3,45276.264619
32.893487,3,45350.57539
45.360077,2,45419.26646
47.012835,1,45485.204007
40.714275,3,45550.388398
39.412507,3,45616.274055
31.373744,3,45671.729627
32.147495,3,45726.577421
48.381221,1,45791.829563
36.709672,3,45857.049367
39.79873,3,45925.016041
47.66536,1,45989.054701
44.514925,1,46054.095535
45.815237,1,46120.595883
41.110251,3,46184.971862
25.569384,3,46235.241051
40.255806,2,46300.242476
23.531005,3,46349.663658
41.853654,3,46413.466053
38.308498,3,46482.041581
