#{"t_start": 1627555575.9669209, "env_id": null}
r,l,t
1.107103,3,22531.056411
0.213365,3,22542.453414
23.823486,3,22592.490486
0.159627,3,22603.785588
0.586889,3,22616.564679
41.86266,2,22686.281657
36.152146,3,22755.003402
0.868776,3,22770.972197
0.254244,3,22783.300757
39.330193,2,22860.394668
17.129263,3,22908.196396
16.704902,3,22949.398668
37.022101,3,23017.67885
11.184779,3,23052.926051
0.097599,3,23062.244436
45.133015,1,23128.106626
26.943458,3,23184.152821
2.486266,3,23221.059966
5.901791,3,23246.231722
13.178786,3,23284.250987
12.400892,3,23328.847426
9.227101,3,23358.734389
0.103227,3,23369.161858
32.265083,3,23428.284911
7.973801,3,23456.423466
0.273473,3,23467.786178
9.409346,3,23498.269929
7.908243,3,23531.674132
25.428587,3,23588.025403
38.752415,3,23656.845794
0.462562,3,23669.087173
36.955407,3,23733.984526
0.342702,3,23746.059827
10.090291,3,23777.497637
18.021044,3,23826.616138
7.096214,3,23862.671373
25.180512,3,23914.193759
7.256714,3,23949.482673
0.35718,3,23960.742191
7.780521,3,23989.669139
20.559947,3,24043.977934
20.765099,3,24094.742309
36.759447,3,24175.361441
1.40257,3,24192.203384
0.180144,3,24203.235705
36.166923,3,24267.394009
6.605263,3,24299.785722
40.839342,3,24376.501242
22.168268,3,24420.047421
33.909419,3,24508.394914
0.177368,3,24519.251419
16.3464,3,24554.662399
12.855305,3,24592.793914
0.176114,3,24604.786987
0.547686,3,24616.692822
0.365768,3,24628.800265
0.106626,3,24640.323545
7.000788,3,24667.574318
20.734697,3,24727.460156
7.405962,3,24753.12853
0.13662,3,24764.473153
8.54611,3,24791.431484
26.110206,3,24851.068713
37.338288,3,24919.106931
21.522135,3,24969.463464
0.191786,3,24979.982826
25.148046,3,25049.727988
22.218179,3,25093.169334
24.24338,3,25153.869165
13.384608,3,25189.211306
0.110943,3,25200.786436
16.31983,3,25247.777778
3.851807,3,25273.140362
10.497039,3,25305.148904
19.621946,3,25363.905295
12.839976,3,25398.276903
33.126213,3,25477.537738
8.903047,3,25511.815709
12.734447,3,25550.002262
44.531739,2,25618.22419
18.201669,3,25670.663033
22.103655,3,25727.609398
12.374311,3,25765.927679
26.019293,3,25825.685665
20.731363,3,25882.355067
20.124276,3,25938.954417
11.69414,3,25999.838821
14.882588,3,26037.112645
40.749511,3,26106.671485
13.012507,3,26147.561849
20.012977,3,26201.954213
0.169501,3,26214.589231
33.283983,3,26281.754786
12.955167,3,26324.377477
2.556336,3,26343.736265
0.219747,3,26354.874052
31.464929,3,26429.611382
8.193548,3,26460.47628
0.439276,3,26472.474478
4.828539,3,26504.066068
9.958314,3,26539.501966
15.727567,3,26581.673461
7.957102,3,26611.588089
25.39743,3,26667.608409
